Market,Structure Type,CAPEX ($),Annual OPEX ($),Gross Revenue ($),Net Revenue ($),Payback (years),IRR Approx (%),Quality Score,Total 2yr Cost ($),Price Index,Bang for Buck,BFB Rank
Maryville,Yurt,48000,4380,25550,20403.5,2.352537554831279,42.50729166666667,7.3,56760,7.275048037331869,5.736760359816208,1
Maryville,Barndominium,140000,9180,25550,15603.5,8.972345948024481,11.145357142857144,8.26,158360,1.0,4.347368421052631,6
Maryville,Quonset Hut,68000,6540,25550,18243.5,3.727354948337764,26.828676470588235,6.82,81080,5.772989294537469,4.793698508556986,4
Maryville,Geodesic Dome,59000,5100,25550,19683.5,2.9974343993700305,33.36186440677966,7.59,69200,6.5067252264617075,5.62502441207584,2
Maryville,Tiny House,90000,6060,25550,18723.5,4.806793601623628,20.80388888888889,7.19,102120,4.4735108427120505,4.630795749871824,5
Maryville,Safari Tent,25200,3300,25550,21483.5,1.1729932273605326,85.25198412698413,6.1899999999999995,31800,8.816634641778753,5.535006504504062,3
Maryville,FEMA Tent,8800,1920,25550,22863.5,0.38489295164782295,259.8125,4.29,12640,10.0,4.29,7
Townsend,Yurt,48000,4380,33215,27838.55,1.7242277345623247,57.99697916666666,7.3,56760,7.275048037331869,5.736760359816208,1
Townsend,Barndominium,140000,9180,33215,23038.55,6.07677132458423,16.456107142857142,8.26,158360,1.0,4.347368421052631,6
Townsend,Quonset Hut,68000,6540,33215,25678.55,2.648124602051128,37.76257352941176,6.82,81080,5.772989294537469,4.793698508556986,4
Townsend,Geodesic Dome,59000,5100,33215,27118.55,2.1756325467253963,45.96364406779661,7.59,69200,6.5067252264617075,5.62502441207584,2
Townsend,Tiny House,90000,6060,33215,26158.55,3.4405576761708887,29.065055555555553,7.19,102120,4.4735108427120505,4.630795749871824,5
Townsend,Safari Tent,25200,3300,33215,28918.55,0.8714129857824822,114.7561507936508,6.1899999999999995,31800,8.816634641778753,5.535006504504062,3
Townsend,FEMA Tent,8800,1920,33215,30298.55,0.2904429419889731,344.3017045454545,4.29,12640,10.0,4.29,7
Walland,Yurt,48000,4380,30295,25006.15,1.919527796162144,52.09614583333334,7.3,56760,7.275048037331869,5.736760359816208,1
Walland,Barndominium,140000,9180,30295,20206.15,6.928583624292603,14.432964285714286,8.26,158360,1.0,4.347368421052631,6
Walland,Quonset Hut,68000,6540,30295,22846.15,2.9764314775137164,33.59727941176471,6.82,81080,5.772989294537469,4.793698508556986,4
Walland,Geodesic Dome,59000,5100,30295,24286.15,2.429368178982671,41.16296610169492,7.59,69200,6.5067252264617075,5.62502441207584,2
Walland,Tiny House,90000,6060,30295,23326.15,3.858330671799675,25.917944444444448,7.19,102120,4.4735108427120505,4.630795749871824,5
Walland,Safari Tent,25200,3300,30295,26086.15,0.9660298664233702,103.51646825396826,6.1899999999999995,31800,8.816634641778753,5.535006504504062,3
Walland,FEMA Tent,8800,1920,30295,27466.15,0.320394376350526,312.11534090909095,4.29,12640,10.0,4.29,7
